freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,AL,2014-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,AL,2015-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,AL,2016-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,AL,2017-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,AL,2018-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,AL,2019-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,AL,2020-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,AL,2021-01-01,31
A,VI_PPS_EU27_2020_HAB,GDP,AL,2022-01-01,33
A,VI_PPS_EU27_2020_HAB,GDP,AL,2023-01-01,38
A,VI_PPS_EU27_2020_HAB,GDP,AL,2024-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,AT,2014-01-01,129
A,VI_PPS_EU27_2020_HAB,GDP,AT,2015-01-01,128
A,VI_PPS_EU27_2020_HAB,GDP,AT,2016-01-01,128
A,VI_PPS_EU27_2020_HAB,GDP,AT,2017-01-01,125
A,VI_PPS_EU27_2020_HAB,GDP,AT,2018-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,AT,2019-01-01,124
A,VI_PPS_EU27_2020_HAB,GDP,AT,2020-01-01,123
A,VI_PPS_EU27_2020_HAB,GDP,AT,2021-01-01,121
A,VI_PPS_EU27_2020_HAB,GDP,AT,2022-01-01,123
A,VI_PPS_EU27_2020_HAB,GDP,AT,2023-01-01,121
A,VI_PPS_EU27_2020_HAB,GDP,AT,2024-01-01,119
A,VI_PPS_EU27_2020_HAB,GDP,AT,2025-01-01,117
A,VI_PPS_EU27_2020_HAB,GDP,BA,2014-01-01,30
A,VI_PPS_EU27_2020_HAB,GDP,BA,2015-01-01,31
A,VI_PPS_EU27_2020_HAB,GDP,BA,2016-01-01,31
A,VI_PPS_EU27_2020_HAB,GDP,BA,2017-01-01,31
A,VI_PPS_EU27_2020_HAB,GDP,BA,2018-01-01,32
A,VI_PPS_EU27_2020_HAB,GDP,BA,2019-01-01,32
A,VI_PPS_EU27_2020_HAB,GDP,BA,2020-01-01,33
A,VI_PPS_EU27_2020_HAB,GDP,BA,2021-01-01,33
A,VI_PPS_EU27_2020_HAB,GDP,BA,2022-01-01,34
A,VI_PPS_EU27_2020_HAB,GDP,BA,2023-01-01,35
A,VI_PPS_EU27_2020_HAB,GDP,BA,2024-01-01,35
A,VI_PPS_EU27_2020_HAB,GDP,BE,2014-01-01,121
A,VI_PPS_EU27_2020_HAB,GDP,BE,2015-01-01,119
A,VI_PPS_EU27_2020_HAB,GDP,BE,2016-01-01,118
A,VI_PPS_EU27_2020_HAB,GDP,BE,2017-01-01,117
A,VI_PPS_EU27_2020_HAB,GDP,BE,2018-01-01,116
A,VI_PPS_EU27_2020_HAB,GDP,BE,2019-01-01,117
A,VI_PPS_EU27_2020_HAB,GDP,BE,2020-01-01,118
A,VI_PPS_EU27_2020_HAB,GDP,BE,2021-01-01,117
A,VI_PPS_EU27_2020_HAB,GDP,BE,2022-01-01,118
A,VI_PPS_EU27_2020_HAB,GDP,BE,2023-01-01,118
A,VI_PPS_EU27_2020_HAB,GDP,BE,2024-01-01,117
A,VI_PPS_EU27_2020_HAB,GDP,BE,2025-01-01,115
A,VI_PPS_EU27_2020_HAB,GDP,BG,2014-01-01,48
A,VI_PPS_EU27_2020_HAB,GDP,BG,2015-01-01,49
A,VI_PPS_EU27_2020_HAB,GDP,BG,2016-01-01,51
A,VI_PPS_EU27_2020_HAB,GDP,BG,2017-01-01,52
A,VI_PPS_EU27_2020_HAB,GDP,BG,2018-01-01,53
A,VI_PPS_EU27_2020_HAB,GDP,BG,2019-01-01,55
A,VI_PPS_EU27_2020_HAB,GDP,BG,2020-01-01,57
A,VI_PPS_EU27_2020_HAB,GDP,BG,2021-01-01,60
A,VI_PPS_EU27_2020_HAB,GDP,BG,2022-01-01,62
A,VI_PPS_EU27_2020_HAB,GDP,BG,2023-01-01,63
A,VI_PPS_EU27_2020_HAB,GDP,BG,2024-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,BG,2025-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,CH,2014-01-01,173
A,VI_PPS_EU27_2020_HAB,GDP,CH,2015-01-01,172
A,VI_PPS_EU27_2020_HAB,GDP,CH,2016-01-01,167
A,VI_PPS_EU27_2020_HAB,GDP,CH,2017-01-01,161
A,VI_PPS_EU27_2020_HAB,GDP,CH,2018-01-01,160
A,VI_PPS_EU27_2020_HAB,GDP,CH,2019-01-01,155
A,VI_PPS_EU27_2020_HAB,GDP,CH,2020-01-01,156
A,VI_PPS_EU27_2020_HAB,GDP,CH,2021-01-01,161
A,VI_PPS_EU27_2020_HAB,GDP,CH,2022-01-01,161
A,VI_PPS_EU27_2020_HAB,GDP,CH,2023-01-01,154
A,VI_PPS_EU27_2020_HAB,GDP,CH,2024-01-01,151
A,VI_PPS_EU27_2020_HAB,GDP,CY,2014-01-01,80
A,VI_PPS_EU27_2020_HAB,GDP,CY,2015-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,CY,2016-01-01,86
A,VI_PPS_EU27_2020_HAB,GDP,CY,2017-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,CY,2018-01-01,89
A,VI_PPS_EU27_2020_HAB,GDP,CY,2019-01-01,91
