freq,nrg_bal,unit,geo,TIME_PERIOD,values
A,REN,PC,AL,2004-01-01,29.62
A,REN,PC,AL,2005-01-01,31.367
A,REN,PC,AL,2006-01-01,32.07
A,REN,PC,AL,2007-01-01,32.657
A,REN,PC,AL,2008-01-01,32.448
A,REN,PC,AL,2009-01-01,31.437
A,REN,PC,AL,2010-01-01,31.867
A,REN,PC,AL,2011-01-01,31.187
A,REN,PC,AL,2012-01-01,35.152
A,REN,PC,AL,2013-01-01,33.167
A,REN,PC,AL,2014-01-01,31.856
A,REN,PC,AL,2015-01-01,34.913
A,REN,PC,AL,2016-01-01,36.953
A,REN,PC,AL,2017-01-01,35.776
A,REN,PC,AL,2018-01-01,36.572
A,REN,PC,AL,2019-01-01,38.042
A,REN,PC,AL,2020-01-01,45.015
A,REN,PC,AL,2021-01-01,41.389
A,REN,PC,AL,2022-01-01,44.076
A,REN,PC,AL,2023-01-01,46.62
A,REN,PC,AL,2024-01-01,43.111
A,REN,PC,AT,2004-01-01,22.553
A,REN,PC,AT,2005-01-01,24.353
A,REN,PC,AT,2006-01-01,26.276
A,REN,PC,AT,2007-01-01,28.144
A,REN,PC,AT,2008-01-01,28.788
A,REN,PC,AT,2009-01-01,31.039
A,REN,PC,AT,2010-01-01,31.205
A,REN,PC,AT,2011-01-01,31.552
A,REN,PC,AT,2012-01-01,32.734
A,REN,PC,AT,2013-01-01,32.665
A,REN,PC,AT,2014-01-01,33.55
A,REN,PC,AT,2015-01-01,33.497
A,REN,PC,AT,2016-01-01,33.37
A,REN,PC,AT,2017-01-01,33.136
A,REN,PC,AT,2018-01-01,33.784
A,REN,PC,AT,2019-01-01,33.755
A,REN,PC,AT,2020-01-01,36.545
A,REN,PC,AT,2021-01-01,34.643
A,REN,PC,AT,2022-01-01,34.057
A,REN,PC,AT,2023-01-01,41.6
A,REN,PC,AT,2024-01-01,42.951
A,REN,PC,BA,2014-01-01,24.873
A,REN,PC,BA,2015-01-01,26.607
A,REN,PC,BA,2016-01-01,25.358
A,REN,PC,BA,2017-01-01,23.241
A,REN,PC,BA,2018-01-01,35.972
A,REN,PC,BA,2019-01-01,37.454
A,REN,PC,BA,2020-01-01,39.835
A,REN,PC,BA,2021-01-01,36.562
A,REN,PC,BA,2022-01-01,39.294
A,REN,PC,BA,2023-01-01,40.011
A,REN,PC,BE,2004-01-01,1.916
A,REN,PC,BE,2005-01-01,2.325
A,REN,PC,BE,2006-01-01,2.658
A,REN,PC,BE,2007-01-01,3.14
A,REN,PC,BE,2008-01-01,3.611
A,REN,PC,BE,2009-01-01,4.746
A,REN,PC,BE,2010-01-01,6.004
A,REN,PC,BE,2011-01-01,6.302
A,REN,PC,BE,2012-01-01,7.086
A,REN,PC,BE,2013-01-01,7.671
A,REN,PC,BE,2014-01-01,8.038
A,REN,PC,BE,2015-01-01,8.06
A,REN,PC,BE,2016-01-01,8.744
A,REN,PC,BE,2017-01-01,9.136
A,REN,PC,BE,2018-01-01,9.472
A,REN,PC,BE,2019-01-01,9.929
A,REN,PC,BE,2020-01-01,13
A,REN,PC,BE,2021-01-01,13.017
A,REN,PC,BE,2022-01-01,13.831
A,REN,PC,BE,2023-01-01,14.673
A,REN,PC,BE,2024-01-01,14.336
A,REN,PC,BG,2004-01-01,9.231
A,REN,PC,BG,2005-01-01,9.173
A,REN,PC,BG,2006-01-01,9.415
A,REN,PC,BG,2007-01-01,9.098
A,REN,PC,BG,2008-01-01,10.345
A,REN,PC,BG,2009-01-01,12.005
A,REN,PC,BG,2010-01-01,13.927
A,REN,PC,BG,2011-01-01,14.152
A,REN,PC,BG,2012-01-01,15.837
A,REN,PC,BG,2013-01-01,18.898
A,REN,PC,BG,2014-01-01,18.05
A,REN,PC,BG,2015-01-01,18.261
A,REN,PC,BG,2016-01-01,18.76
A,REN,PC,BG,2017-01-01,18.695
A,REN,PC,BG,2018-01-01,20.581
A,REN,PC,BG,2019-01-01,21.545
A,REN,PC,BG,2020-01-01,23.319
A,REN,PC,BG,2021-01-01,19.394
A,REN,PC,BG,2022-01-01,19.079
A,REN,PC,BG,2023-01-01,23.151
A,REN,PC,BG,2024-01-01,23.21
A,REN,PC,CY,2004-01-01,3.071
A,REN,PC,CY,2005-01-01,3.131
A,REN,PC,CY,2006-01-01,3.263
A,REN,PC,CY,2007-01-01,4.001
A,REN,PC,CY,2008-01-01,5.131
A,REN,PC,CY,2009-01-01,5.92
A,REN,PC,CY,2010-01-01,6.161
A,REN,PC,CY,2011-01-01,6.245
A,REN,PC,CY,2012-01-01,7.111
A,REN,PC,CY,2013-01-01,8.428
A,REN,PC,CY,2014-01-01,9.144
